"First","Second","Third","Class","Age","AvgSleepTime","LastNightSleep","HoursAwake","Fatigue","Stress","Distraction","NoiseLevel","Temperature","VideoGamePlay","SportsPlay","ShootingGames","AvgHoursExercise","Gamer","CaffeineIntake","AlcoholIntake","VisualAcuity","PrimarilyHand","UsePrimaryHand","Cautious","InputDevice","RefreshRate","DeviceOS","WiFi"
734,684,783,"Senior",22,8,8,13,"Moderately fatigued","Very Low","No",1,"Neutral","Rarely","Several times a week","Beginner",5,"No","Yes","No","Excellent","Right hand","Yes","Not cautious at all","Mouse","Standard","Desktopcomputer-macOS","Stable"
647,510,565,"Sophomore",20,8,8,11,"Moderately fatigued","Low","No",1,"Neutral","Once a week","Several times a week","Expert",10,"Yes","Yes","No","Good","Right hand","Yes","Moderately cautious","Trackpad","Standard","Laptop-macOS","Stable"
779,608,566,"Senior",21,7,8,9,"Moderately fatigued","Low","No",1,"Cold","Rarely","Several times a month","Intermediate",5,"No","No","No","Good","Right hand","Yes","Moderately cautious","Trackpad","Mid-Range","Laptop-macOS","Unstable"
693,705,652,"Junior",21,8,5,6,"Slightly Fatigued","Moderate","No",1,"Neutral","Rarely","Rarely","Beginner",3,"No","No","No","Good","Right hand","Yes","Slightly cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
310,292,298,"Junior",21,7,6,3,"Slightly Fatigued","Very Low","No",1,"Neutral","Daily","Never","Expert",7,"Yes","No","No","Excellent","Right hand","Yes","Moderately cautious","Mouse","High","Desktopcomputer-Windows","Stable"
512,490,537,"Senior",21,10,17,9,"Not fatigued at all","Moderate","No",1,"Cold","Several times a week","Rarely","Intermediate",7,"Yes","No","No","Excellent","Right hand","Yes","Slightly cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
623,618,527,"Junior",20,8,10,12,"Slightly Fatigued","Low","No",1,"Neutral","Rarely","Rarely","Intermediate",3,"No","No","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
386,360,362,"Junior",21,6,8,6,"Not fatigued at all","Very Low","No",1,"Cold","Several times a week","Daily","Expert",6,"Yes","No","No","Good","Right hand","Yes","Moderately cautious","Mouse","Mid-Range","Laptop-Windows","Stable"
473,402,391,"Senior",22,5,5,2,"Extremely fatigued","Moderate","No",1,"Neutral","Once a week","Rarely","Advanced",2,"Yes","Yes","No","Good","Right hand","Yes","Moderately cautious","Mouse","High","Desktopcomputer-Linux","Stable"
588,549,514,"Junior",22,6.5,10,4,"Moderately fatigued","High","No",1,"Neutral","Several times a week","Rarely","Beginner",0,"Yes","No","No","Excellent","Right hand","Yes","Very cautious","Mouse","Standard","Laptop-Windows","Stable"
